code,code_name
sz.399669,深证农业综合企业指数
sz.399670,深证周期行业50指数
sz.399671,深证防御行业50指数
sz.399672,深证红利50加权指数
sz.399673,创业板50指数
sz.399674,深A医药卫生指数
sz.399675,深A软件与互联网指数
sz.399676,深A医药卫生等权指数
sz.399677,深A软件与互联网等权指数
sz.399678,深证次新股指数
sz.399679,深证200收益指数
sz.399680,深成能源行业指数
sz.399681,深成原材料行业指数
sz.399682,深成工业行业指数
sz.399683,深成可选消费行业指数
sz.399684,深成主要消费行业指数
sz.399685,深成医药卫生行业指数
sz.399686,深成金融地产行业指数
sz.399687,深成信息技术行业指数
sz.399688,深成电信业务行业指数
sz.399689,深成公用事业行业指数
sz.399701,深证基本面60指数
sz.399702,深证基本面120指数
sz.399703,深证基本面200指数
sz.399704,深证上游产业指数
sz.399705,深证中游产业指数
sz.399706,深证下游产业指数
sz.399802,中证500深市指数
sz.399803,中证工业4.0指数
sz.399804,中证体育产业指数
sz.399805,中证互联网金融指数
sz.399806,中证环境治理指数
sz.399807,中证高铁产业指数
sz.399808,中证新能源指数
sz.399809,中证方正富邦保险主题指数
sz.399812,中证养老产业指数
sz.399813,中证国防安全指数
sz.399814,中证大农业指数
sz.399901,中证南方小康产业指数
sz.399903,中证A100指数
sz.399905,中证500指数
sz.399913,沪深300医药卫生指数
sz.399914,沪深300金融地产指数
sz.399928,中证能源指数
sz.399932,中证主要消费指数
sz.399933,中证医药卫生指数
sz.399934,中证金融地产指数
sz.399935,中证信息技术指数
sz.399959,中证中航军工主题指数
sz.399965,中证800地产指数
sz.399966,中证800证券保险指数
sz.399967,中证军工指数
sz.399972,沪深300深市指数
sz.399974,中证国有企业改革指数
sz.399982,中证500等权重指数
sz.399990,中证煤炭等权指数
sz.399991,中证一带一路主题指数
sz.399992,中证万得并购重组指数
sz.399993,中证万得生物科技指数
sz.399994,中证信息安全主题指数
sz.399995,中证基建工程指数
sz.399996,中证智能家居指数
sz.399997,中证白酒指数
sz.399998,中证煤炭指数
